,PCSrc,ImmExt,RAWrite,Op1Src,Op2Src,WBDst,ALUOp,MemData,MemOp,WBSrc,WBEnable
NOP,PC+1,*,No,*,*,*,*,*,No,*,If WBDst!= * then Yes
ADDIU,,"(Sign,7-0)",,Rx,Imm,Rx,Plus,,,ALURes,
ADDIU3,,"(Sign,3-0)",,Rx,Imm,Ry,Plus,,,ALURes,
ADDSP,,"(Sign,7-0)",,SP,Imm,SP,Plus,,,ALURes,
ADDU,,,,Rx,Ry,Rz,Plus,,,ALURes,
AND,,,,Rx,Ry,Rx,And,,,ALURes,
B,Branch-True,"(Sign,10-0)",,,,,,,,,
BEQZ,Branch-Rx-0,"(Sign,7-0)",,,,,,,,,
BNEZ,Branch-Rx-1,"(Sign,7-0)",,,,,,,,,
BTEQZ,Branch-T-0,"(Sign,7-0)",,,,,,,,,
CMP,,,,Rx,Ry,T,Sub,,,ALURes,
JR,Rx,,,,,,,,,,
LI,,"(Zero,7-0)",,Imm,0,Rx,Or,,,ALURes,
LW,,"(Sign,4-0)",,Rx,Imm,Ry,Plus,,Read,Mem,
LW_SP,,"(Sign,7-0)",,SP,Imm,Rx,Plus,,Read,Mem,
MFIH,,,,IH,0,Rx,Or,,,ALURes,
MFPC,,,,PC+1,0,Rx,Or,,,ALURes,
MTIH,,,,Rx,0,IH,Or,,,ALURes,
MTSP,,,,Rx,0,SP,Or,,,ALURes,
OR,,,,Rx,Ry,Rx,Or,,,ALURes,
SLL,,"(Shift,4-2)",,Ry,Imm,Rx,SLL,,,ALURes,
SRA,,"(Shift,4-2)",,Ry,Imm,Rx,SRA,,,ALURes,
SUBU,,,,Rx,Ry,Rz,Sub,,,ALURes,
SW,,"(Sign,4-0)",,Rx,Imm,,Plus,Ry,Write,,
SW_SP,,"(Sign,7-0)",,SP,Imm,,Plus,Rx,Write,,
JRRA,RA,,,,,,,,,,
JALR,Rx,,Yes,,,,,,,,
CMPI,,"(Sign,7-0)",,Rx,Imm,T,Sub,,,ALURes,
MOVE,,,,Ry,0,Rx,Or,,,ALURes,
SLT,,,,Rx,Ry,T,If_Less,,,ALURes,